sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
RA041	2019	08/03/2019	4	30	3.1		3.48	10.8		2.4			1.9	3.8				94.0	110.0	20.0																220.0	0.0								109.0	2.4	0.0						
RA041	2019	08/03/2019	13	30						4.8								103.0																																			
RA041	2019	08/03/2019	16	0						5.4								117.0																																			
RA041	2019	08/03/2019	5	45	4.6		3.5	16.1		3.6			2.5	5.4				121.0	110.0	20.0																230.0	0.0								97.0	2.8	0.0						
RA041	2019	08/03/2019	23	30	3.0		3.77	11.3		3.3			0.4	3.7				99.0	110.0	20.0																226.0	0.0								45.0	2.4	0.0						
RA041	2019	08/03/2019	6	0						3.5								126.0																																			
RA041	2019	08/03/2019	18	45	5.8		3.21	18.6		3.7			1.4	6.5				103.0	110.0	20.0																280.0	0.0								59.0	1.6	0.0						
RA041	2019	08/03/2019	22	0																																																	
RA041	2019	08/03/2019	20	45	5.8		3.41	19.8					0.7	6.5					110.0	20.0																267.0	0.0								47.0	2.4	0.0						
RA041	2019	08/03/2019	22	45	4.2		3.71	15.6		3.4			0.4	4.9				99.0	110.0	20.0																233.0	0.0								30.0	2.0	0.0						
RA041	2019	08/03/2019	7	30						4.9								108.0																																			
RA041	2019	08/03/2019	7	0						5.3								108.0																																			
RA041	2019	08/03/2019	22	30	4.2		3.6	15.1		2.7			0.4	4.9				103.0	110.0	20.0																246.0	0.0								54.0	2.8	0.0						
RA041	2019	08/03/2019	19	30	5.9		3.24	19.1		5.1			1.0	6.6				103.0	110.0	20.0																278.0	0.0								61.0	2.0	0.0						
RA041	2019	08/03/2019	11	45						4.0								103.0																																			
RA041	2019	08/03/2019	23	0	4.2		3.69	15.5		3.2			0.4	4.9				99.0	110.0	20.0																235.0	0.0								38.0	2.8	0.0						
RA041	2019	08/03/2019	15	0						3.5								103.0																																			
RA041	2019	08/03/2019	10	15	5.5	4.3	3.44	18.9		4.3			3.2	6.2				99.0	110.0	20.0																220.0	0.6								65.0	1.6	1.1						
RA041	2019	08/03/2019	2	30	2.5		3.64	9.1					0.9	3.2					110.0	20.0																248.0	0.0								50.0	1.6	0.0						
RA041	2019	08/03/2019	3	45						3.9								99.0																																			
RA041	2019	08/03/2019	4	0	2.8		3.57	10.0		4.4			1.6	3.5				94.0	110.0	20.0																220.0	0.0								81.0	1.2	0.0						
RA041	2019	08/03/2019	13	0						3.8								103.0																																			
RA041	2019	08/03/2019	18	0	4.8		3.17	15.2		3.7			1.8	5.4				108.0	110.0	20.0																285.0	0.0								94.0	3.2	0.0						
RA041	2019	08/03/2019	0	30	3.4		3.56	12.1					0.5	4.1					110.0	20.0																259.0	0.0								47.0	2.4	0.0						
RA041	2019	08/03/2019	14	45						3.2								99.0																																			
RA041	2019	08/03/2019	20	30	5.8		3.5	20.3		2.9			0.8	6.5				103.0	110.0	20.0																266.0	0.0								43.0	1.6	0.0						
RA041	2019	08/03/2019	21	30	5.3		3.53	18.7		3.3			0.6	6.0				99.0	110.0	20.0																244.0	0.0								46.0	2.0	0.0						
RA041	2019	08/03/2019	5	15	3.7		3.92	14.5		5.2			2.3	4.4				117.0	110.0	20.0																210.0	0.0								38.0	1.6	0.0						
RA041	2019	08/03/2019	15	30						3.4								108.0																																			
RA041	2019	08/03/2019	7	15	4.5		3.51	15.8		4.5			2.9	5.1				117.0	110.0	20.0																210.0	0.0								79.0	3.2	0.0						
RA041	2019	08/03/2019	20	0	5.9		3.36	19.8		3.4			0.9	6.6				99.0	110.0	20.0																274.0	0.0								51.0	2.0	0.0						
RA041	2019	08/03/2019	18	30	5.4		3.28	17.7		5.6			1.5	6.1				103.0	110.0	20.0																278.0	0.0								57.0	1.6	0.0						
RA041	2019	08/03/2019	1	30	2.9		3.38	9.8		4.7			0.7	3.6				103.0	110.0	20.0																257.0	0.0								69.0	1.2	0.0						
RA041	2019	08/03/2019	21	0	5.9		3.53	20.8					0.7	6.7					110.0	20.0																254.0	0.0								40.0	2.4	0.0						
RA041	2019	08/03/2019	1	45	2.9		3.48	10.1		2.4			0.7	3.6				94.0	110.0	20.0																263.0	0.0								56.0	2.4	0.0						
RA041	2019	08/03/2019	9	15	5.0	4.1	3.42	17.1		4.5			3.2	5.6				103.0	110.0	20.0																210.0	0.5								63.0	1.2	1.1						
RA041	2019	08/03/2019	2	0	2.9		3.41	9.9					0.8	3.6					110.0	20.0																270.0	0.0								71.0	3.2	0.0						
RA041	2019	08/03/2019	11	15						4.2								103.0																																			
RA041	2019	08/03/2019	8	30	4.7	4.1	2.94	13.8		6.0			3.1	5.3				103.0	110.0	20.0																210.0	0.0								68.0	1.2	1.0						
RA041	2019	08/03/2019	21	45	4.9		3.63	17.8		2.1			0.5	5.6				99.0	110.0	20.0																242.0	0.0								41.0	2.8	0.0						
RA041	2019	08/03/2019	9	30	5.0	4.3	3.32	16.6		4.6			3.2	5.6				103.0	110.0	20.0																200.0	0.4								51.0	1.2	1.0						
RA041	2019	08/03/2019	3	15	2.4		3.71	8.9					1.2	3.1					110.0	20.0																220.0	0.0								69.0	1.6	0.0						
RA041	2019	08/03/2019	0	45	3.2		3.53	11.3		2.2			0.6	3.9				94.0	110.0	20.0																251.0	0.0								42.0	1.6	0.0						
RA041	2019	08/03/2019	9	0	5.0		3.32	16.6		7.1			3.1	5.6				103.0	110.0	20.0																240.0	0.0								95.0	2.8	0.0						
