time	eq_lat	eq_lon	mag	earthquake_id	date	prep_zone	year	sonde1	sonde1_lat	sonde1_lon	eq_sonde1_dist	sonde2	sonde2_lat	sonde2_lon	eq_sonde2_dist	sonde1_sonde2_dist
06:42:54.300	39.7	16.843	5.3	usp000b2jt	2002-04-17	190.10782799233002	2002	VT139	40.6	17.8	128.99976727783599	AT138	38.0	23.6	614.9216436855941	576.7595182467479
06:42:54.300	39.7	16.843	5.3	usp000b2jt	2002-04-17	190.10782799233002	2002	VT139	40.6	17.8	128.99976727783599	RO041	44.3	12.5	624.8223296620221	598.5766123752439
02:22:18.030	61.588	-146.416	5.3	usp000d2tw	2004-08-25	190.10782799233002	2004	GA762	62.4	-145.2	110.409297389314	CO764	64.9	-147.8	374.83225204425105	306.21111759696
02:22:18.026	61.588	-146.4163	5.1	ak004axn87vu	2004-08-25	155.955250282695	2004	GA762	62.4	-145.2	110.41830910402099	CO764	64.9	-147.8	374.829484924873	306.21111759696
05:21:00.800	34.589	23.326	6.1	usp000cq54	2004-03-17	419.758983991007	2004	AT138	38.0	23.6	380.198694026831	VT139	40.6	17.8	826.7684380261541	576.7595182467479
21:40:04.090	38.152	26.750999999999998	5.9	usp000e2bq	2005-10-20	344.349930763338	2005	AT138	38.0	23.6	276.403752044864	VT139	40.6	17.8	815.896832547171	576.7595182467479
15:26:00.260	37.622	20.918000000000003	5.7	usp000e25a	2005-10-18	282.487997491571	2005	AT138	38.0	23.6	239.3944868014	VT139	40.6	17.8	426.71046713746	576.7595182467479
09:46:53.900	38.2	26.5	5.8	usp000e20e	2005-10-17	311.888958409394	2005	AT138	38.0	23.6	254.801178106987	VT139	40.6	17.8	793.566888867534	576.7595182467479
18:30:52.900	39.32	23.6	5.1	usp000f0qw	2006-12-21	155.955250282695	2006	AT138	38.0	23.6	146.82337986307	VT139	40.6	17.8	514.4637654212889	576.7595182467479
14:28:37.310	38.649	15.39	5.8	usp000ew2z	2006-10-26	311.888958409394	2006	VT139	40.6	17.8	299.515143577314	AT138	38.0	23.6	719.7953324905949	576.7595182467479
16:52:01.200	37.61	20.95	5.7	usp000eeah	2006-04-12	282.487997491571	2006	AT138	38.0	23.6	236.88632022233298	VT139	40.6	17.8	429.502955178996	576.7595182467479
20:39:58.710	-8.466000000000001	157.043	8.1	usp000f83m	2007-04-01	3040.88502567628	2007	CN53L	-34.0	150.7	2913.47837701248	CB53N	-35.3	149.0	3094.9683932975104	212.37386238029399
13:57:58.200	38.34	20.42	5.7	usp000f7cx	2007-03-25	282.487997491571	2007	AT138	38.0	23.6	280.625750757438	VT139	40.6	17.8	337.309396817102	576.7595182467479
02:59:08.510	27.324	125.62100000000001	6.9	usp000jajd	2011-11-08	926.8298233793499	2011	JJ433	33.4	126.3	678.961067375626	IC437	37.1	127.5	1101.59143273412	425.728394087612
18:26:56.370	26.648000000000003	127.65299999999999	5.0	usp000j8r3	2011-09-29	141.253754462275	2011	OK426	26.3	127.8	41.3826621000679	YG431	31.2	130.6	581.881338263317	609.524717860107
19:18:14.840	27.236	128.2	5.3	usp000j57k	2011-07-20	190.10782799233002	2011	OK426	26.3	127.8	111.43188225553699	YG431	31.2	130.6	498.643325654516	609.524717860107
11:38:32.870	30.284000000000002	131.467	5.1	usp000j3m1	2011-06-23	155.955250282695	2011	YG431	31.2	130.6	131.340867144762	JJ433	33.4	126.3	598.602467283038	472.499888691286
11:38:32.870	30.284000000000002	131.467	5.1	usp000j3m1	2011-06-23	155.955250282695	2011	YG431	31.2	130.6	131.340867144762	OK426	26.3	127.8	570.314526665588	609.524717860107
23:21:22.100	26.124000000000002	128.398	5.5	usp000j12q	2011-05-05	231.739464996848	2011	OK426	26.3	127.8	62.8042807692607	YG431	31.2	130.6	604.0747219720121	609.524717860107
12:57:47.820	29.999000000000002	131.78	5.9	usp000hzky	2011-04-09	344.349930763338	2011	YG431	31.2	130.6	174.95012665262797	JJ433	33.4	126.3	641.740791163473	472.499888691286
12:57:47.820	29.999000000000002	131.78	5.9	usp000hzky	2011-04-09	344.349930763338	2011	YG431	31.2	130.6	174.95012665262797	OK426	26.3	127.8	567.035890753026	609.524717860107
05:46:24.120	38.297	142.373	9.1	official20110311054624120_30	2011-03-11	8184.647881347901	2011	CN53L	-34.0	150.7	8087.4178584449	CB53N	-35.3	149.0	8214.594448728249	212.37386238029399
02:45:20.330	38.435	142.842	7.3	usp000hvhj	2011-03-09	1377.2094688939499	2011	IC437	37.1	127.5	1355.53738102227	JJ433	33.4	126.3	1589.0513223862602	425.728394087612
02:45:20.330	38.435	142.842	7.3	usp000hvhj	2011-03-09	1377.2094688939499	2011	YG431	31.2	130.6	1375.38834193086	JJ433	33.4	126.3	1589.0513223862602	472.499888691286
02:45:20.330	38.435	142.842	7.3	usp000hvhj	2011-03-09	1377.2094688939499	2011	YG431	31.2	130.6	1375.38834193086	OK426	26.3	127.8	1949.1329739578198	609.524717860107
04:56:19.740	26.419	128.70600000000002	5.1	usp000huwp	2011-02-22	155.955250282695	2011	OK426	26.3	127.8	91.2610890307914	YG431	31.2	130.6	562.882720128193	609.524717860107
23:45:10.380	25.909000000000002	128.281	5.2	usp000humf	2011-02-16	172.186857498601	2011	OK426	26.3	127.8	64.8048221815457	YG431	31.2	130.6	630.566605980928	609.524717860107
14:12:50.370	25.908	128.29399999999998	5.1	usp000hujf	2011-02-15	155.955250282695	2011	OK426	26.3	127.8	65.8469972340131	YG431	31.2	130.6	630.216255821638	609.524717860107
14:26:55.850	25.748	122.35	5.1	usp000jwpg	2012-12-08	155.955250282695	2012	CL424	24.9	121.2	149.21397026816	OK426	26.3	127.8	548.146297239408	680.024056086722
17:45:37.180	23.91	121.631	5.0	usp000jwc3	2012-12-02	141.253754462275	2012	CL424	24.9	121.2	118.455405859146	OK426	26.3	127.8	675.716219174167	680.024056086722
13:39:25.580	31.215999999999998	130.19899999999998	5.3	usp000ju20	2012-10-16	190.10782799233002	2012	YG431	31.2	130.6	38.1901932874394	JJ433	33.4	126.3	439.679132486502	472.499888691286
13:39:25.580	31.215999999999998	130.19899999999998	5.3	usp000ju20	2012-10-16	190.10782799233002	2012	YG431	31.2	130.6	38.1901932874394	OK426	26.3	127.8	594.687529536979	609.524717860107
03:47:18.600	24.026	122.34100000000001	5.1	usp000jrrr	2012-09-05	155.955250282695	2012	CL424	24.9	121.2	150.98055911838802	OK426	26.3	127.8	604.90422388565	680.024056086722
12:47:33.380	10.811	126.63799999999999	7.6	usp000jr83	2012-08-31	1853.5316234148102	2012	OK426	26.3	127.8	1727.15511054198	YG431	31.2	130.6	2304.3155742993304	609.524717860107
02:59:38.460	49.8	145.064	7.7	usp000jq9h	2012-08-14	2046.4446367246699	2012	IC437	37.1	127.5	1992.2558309961398	JJ433	33.4	126.3	2386.97039759006	425.728394087612
17:20:11.140	30.980999999999998	130.34799999999998	5.0	usp000jpes	2012-07-25	141.253754462275	2012	YG431	31.2	130.6	34.198585549704	JJ433	33.4	126.3	466.398046060877	472.499888691286
17:20:11.140	30.980999999999998	130.34799999999998	5.0	usp000jpes	2012-07-25	141.253754462275	2012	YG431	31.2	130.6	34.198585549704	OK426	26.3	127.8	576.97155619959	609.524717860107
19:25:07.110	29.381	130.099	5.6	usp000jntb	2012-07-09	255.858588690564	2012	YG431	31.2	130.6	207.96928118121102	JJ433	33.4	126.3	574.306060496235	472.499888691286
19:25:07.110	29.381	130.099	5.6	usp000jntb	2012-07-09	255.858588690564	2012	YG431	31.2	130.6	207.96928118121102	OK426	26.3	127.8	410.546067992976	609.524717860107
19:20:43.000	44.9	10.94	5.1	usp000jm9v	2012-06-03	155.955250282695	2012	RO041	44.3	12.5	140.41890605484198	PQ052	50.0	14.6	630.351450899853	653.535588759926
11:00:25.050	44.873000000000005	10.955	5.1	usp000jm31	2012-05-29	155.955250282695	2012	RO041	44.3	12.5	137.987422687332	PQ052	50.0	14.6	632.5959483584439	653.535588759926
10:55:57.000	44.888000000000005	11.008	5.5	usp000jm2z	2012-05-29	231.739464996848	2012	RO041	44.3	12.5	135.064312344775	PQ052	50.0	14.6	629.360105525856	653.535588759926
07:00:03.000	44.851000000000006	11.085999999999999	5.8	usp000jm2n	2012-05-29	311.888958409394	2012	RO041	44.3	12.5	127.699205881739	PQ052	50.0	14.6	630.6436733634511	653.535588759926
03:18:44.390	27.197	127.28399999999999	5.2	usp000jkqg	2012-05-21	172.186857498601	2012	OK426	26.3	127.8	112.16701397087799	CL424	24.9	121.2	659.3697799095501	680.024056086722
03:18:44.390	27.197	127.28399999999999	5.2	usp000jkqg	2012-05-21	172.186857498601	2012	OK426	26.3	127.8	112.16701397087799	YG431	31.2	130.6	549.388216474828	609.524717860107
13:18:02.000	44.831	11.49	5.0	usp000jkpj	2012-05-20	141.253754462275	2012	RO041	44.3	12.5	99.46991709026399	PQ052	50.0	14.6	620.629221770429	653.535588759926
02:03:52.000	44.89	11.23	6.0	usp000jkn8	2012-05-20	380.189396320561	2012	RO041	44.3	12.5	120.102764562815	PQ052	50.0	14.6	622.19132918988	653.535588759926
01:58:08.600	24.13	121.67	5.0	usp000jj7e	2012-04-19	141.253754462275	2012	CL424	24.9	121.2	97.9683816730291	OK426	26.3	127.8	662.303598797865	680.024056086722
08:38:36.720	2.327	93.06299999999999	8.6	official20120411083836720_20	2012-04-11	4988.84487460012	2012	JJ433	33.4	126.3	4887.58711934131	IC437	37.1	127.5	5229.9178126034	425.728394087612
